W% BaO,W% CaO,W% MgO,W% PbO,W% SrO,W% ZnO,W% GeO2,W% SiO2,W% TeO2,W% TiO2,W% ZrO2,W% WO3,W% K2O,W% Li2O,W% Na2O,W% Al2O3,W% B2O3,W% Bi2O3,W% P2O5,TG
0.0,0.0,0.0,25.092170715332,0.0,0.0,0.0,58.6814765930176,0.0,0.0,0.0,0.0,9.92770671844482,6.29864883422852,0.0,0.0,0.0,0.0,0.0,435.0
0.0,0.0,0.0,10.8885631561279,0.0,0.0,0.0,67.9050598144531,0.0,0.0,0.0,0.0,11.4881477355957,9.71823120117188,0.0,0.0,0.0,0.0,0.0,450.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.9759063720703,0.0,0.0,0.0,0.0,12.6843910217285,12.3397016525269,0.0,0.0,0.0,0.0,0.0,465.0
0.0,0.0,0.0,43.6229209899902,0.0,0.0,0.0,45.3414115905762,0.0,0.0,0.0,0.0,7.6708402633667,0.0,3.3648316860199,0.0,0.0,0.0,0.0,420.0
0.0,0.0,0.0,34.5275115966797,0.0,0.0,0.0,49.6906547546387,0.0,0.0,0.0,0.0,8.40664291381836,0.0,7.37518692016602,0.0,0.0,0.0,0.0,410.0
0.0,0.0,0.0,23.5020713806152,0.0,0.0,0.0,54.9628105163574,0.0,0.0,0.0,0.0,9.29858493804932,0.0,12.2365369796753,0.0,0.0,0.0,0.0,390.0
0.0,0.0,0.0,9.85934829711914,0.0,0.0,0.0,61.4864959716797,0.0,0.0,0.0,0.0,10.4022588729858,0.0,18.2518997192383,0.0,0.0,0.0,0.0,410.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.201042175293,0.0,0.0,0.0,0.0,11.1998634338379,0.0,22.5990905761719,0.0,0.0,0.0,0.0,440.0
0.0,0.0,0.0,42.8730430603027,0.0,0.0,0.0,44.5619926452637,0.0,0.0,0.0,0.0,12.5649633407593,0.0,0.0,0.0,0.0,0.0,0.0,445.0
0.0,0.0,0.0,33.2527160644531,0.0,0.0,0.0,47.856014251709,0.0,0.0,0.0,0.0,18.8912734985352,0.0,0.0,0.0,0.0,0.0,0.0,455.0
0.0,0.0,0.0,22.096586227417,0.0,0.0,0.0,51.675895690918,0.0,0.0,0.0,0.0,26.2275161743164,0.0,0.0,0.0,0.0,0.0,0.0,465.0
0.0,0.0,0.0,9.00500202178955,0.0,0.0,0.0,56.1584815979004,0.0,0.0,0.0,0.0,34.8365135192871,0.0,0.0,0.0,0.0,0.0,0.0,480.0
37.0685043334961,1.69467329978943,0.0,0.0,0.0,1.47576498985291,0.0,36.0247383117676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.05332612991333,18.682991027832,0.0,0.0,640.0
30.0429058074951,1.83130884170532,0.0,0.0,0.0,1.59475076198578,0.0,38.9292831420898,0.0,0.0,0.0,0.0,0.0,1.95166218280792,0.0,5.46075820922852,20.1893329620361,0.0,0.0,565.0
21.7850532531738,1.99190938472748,0.0,0.0,0.0,1.73460578918457,0.0,42.3432693481445,0.0,0.0,0.0,0.0,0.0,4.24563455581665,0.0,5.93965101242065,21.9598808288574,0.0,0.0,530.0
11.9395942687988,2.1833860874176,0.0,0.0,0.0,1.90134847164154,0.0,46.4136047363281,0.0,0.0,0.0,0.0,0.0,6.98063278198242,0.0,6.51061248779297,24.0708198547363,0.0,0.0,505.0
0.0,2.41558957099915,0.0,0.0,0.0,2.10355734825134,0.0,51.3497047424316,0.0,0.0,0.0,0.0,0.0,10.2973670959473,0.0,7.20301818847656,26.6307601928711,0.0,0.0,490.0
29.4260158538818,1.79370546340942,0.0,0.0,0.0,1.56200468540192,0.0,38.1299209594727,0.0,0.0,0.0,0.0,0.0,0.0,3.96494722366333,5.34862899780273,19.774772644043,0.0,0.0,590.0
20.8348770141602,1.90503025054932,0.0,0.0,0.0,1.65894913673401,0.0,40.4964218139648,0.0,0.0,0.0,0.0,0.0,0.0,8.42205619812012,5.68058681488037,21.0020771026611,0.0,0.0,563.0
11.1067705154419,2.03108811378479,0.0,0.0,0.0,1.768723487854,0.0,43.1761131286621,0.0,0.0,0.0,0.0,0.0,0.0,13.4690284729004,6.05647706985474,22.3918056488037,0.0,0.0,536.0
0.0,2.17501020431519,0.0,0.0,0.0,1.89405465126038,0.0,46.2355575561523,0.0,0.0,0.0,0.0,0.0,0.0,19.2312507629395,6.48563718795776,23.9784812927246,0.0,0.0,520.0
28.8317890167236,1.75748348236084,0.0,0.0,0.0,1.5304616689682,0.0,37.3599281311035,0.0,0.0,0.0,0.0,5.9042649269104,0.0,0.0,5.24061918258667,19.3754425048828,0.0,0.0,630.0
19.9610157012939,1.82512903213501,0.0,0.0,0.0,1.5893691778183,0.0,38.7979125976563,0.0,0.0,0.0,0.0,12.2630405426025,0.0,0.0,5.44233083724976,20.1212043762207,0.0,0.0,590.0
10.380033493042,1.89819014072418,0.0,0.0,0.0,1.65299260616302,0.0,40.351016998291,0.0,0.0,0.0,0.0,19.1309051513672,0.0,0.0,5.66019058227539,20.9266681671143,0.0,0.0,565.0
0.0,1.97734439373016,0.0,0.0,0.0,1.72192227840424,0.0,42.0336532592773,0.0,0.0,0.0,0.0,26.5715503692627,0.0,0.0,5.8962197303772,21.7993087768555,0.0,0.0,550.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.5064849853516,0.0,0.0,0.0,0.0,0.0,0.0,10.1227531433105,0.0,11.3707675933838,0.0,0.0,593.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.3303604125977,0.0,0.0,0.0,0.0,0.0,0.0,9.8916654586792,0.0,27.7779731750488,0.0,0.0,511.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.6930160522461,0.0,0.0,0.0,0.0,0.0,0.0,9.76827430725098,0.0,36.5387115478516,0.0,0.0,465.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.9512405395508,0.0,0.0,0.0,0.0,0.0,0.0,9.52910614013672,0.0,53.5196533203125,0.0,0.0,426.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.2600173950195,0.0,0.0,0.0,0.0,0.0,0.0,11.6274375915527,0.0,24.1125450134277,0.0,0.0,560.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.6671371459961,0.0,0.0,0.0,0.0,0.0,0.0,11.9537315368652,0.0,22.3791389465332,0.0,0.0,570.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.2579116821289,0.0,0.0,0.0,0.0,0.0,0.0,12.5946588516235,0.0,14.1474294662476,0.0,0.0,590.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.5787963867188,0.0,0.0,0.0,0.0,0.0,0.0,12.6304130554199,0.0,17.7907905578613,0.0,0.0,592.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.3436737060547,0.0,0.0,0.0,0.0,0.0,0.0,12.7459897994995,0.0,16.9103355407715,0.0,0.0,596.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.2140426635742,0.0,0.0,0.0,0.0,0.0,0.0,13.0862865447998,0.0,14.6996688842773,0.0,0.0,595.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.3216705322266,0.0,0.0,0.0,0.0,0.0,0.0,13.3115348815918,0.0,13.3667964935303,0.0,0.0,602.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.9863128662109,0.0,0.0,0.0,0.0,0.0,0.0,13.4265480041504,0.0,12.5871343612671,0.0,0.0,596.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.5182456970215,0.0,0.0,0.0,0.0,0.0,0.0,12.9790153503418,0.0,36.5027389526367,0.0,0.0,507.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.8787155151367,0.0,0.0,0.0,0.0,0.0,0.0,13.7709064483643,0.0,10.3503761291504,0.0,0.0,586.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.2305603027344,0.0,0.0,0.0,0.0,0.0,0.0,13.7272701263428,0.0,33.0421676635742,0.0,0.0,530.0
